ghcn_din;date;prcp;snow;tmax;tmin;elevation;name;coord;country_code
ITM00016064;2015-01-20;0.0;;8.2;1.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-03-17;99.0;;10.2;6.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-03-26;33.0;;;7.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-04-07;0.0;;15.4;4.2;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-08-27;;;28.4;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-09-15;0.0;;23.8;18.4;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-09-16;41.0;;18.2;17.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-09-23;79.0;;17.0;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-11-03;0.0;;13.0;3.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-11-05;0.0;;17.2;4.2;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-12-29;;;8.2;-5.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-01-02;0.0;;7.6;-5.2;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-01-05;0.0;;11.2;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-02-06;119.0;;;0.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-02-18;0.0;;10.4;2.4;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-02-19;;;;-2.2;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-03-03;0.0;;;0.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-06-23;0.0;;26.6;17.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-08-04;0.0;;30.8;19.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-02-05;152.0;;3.0;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-08-14;3.0;;25.8;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-02-09;0.0;;7.2;-2.4;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-09-02;20.0;;27.0;18.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-02-20;0.0;;9.4;-1.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-10-23;0.0;;17.0;4.4;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-04-03;0.0;;;4.2;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-11-17;0.0;;;7.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-05-08;20.0;;23.6;13.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-11-24;0.0;;8.4;-0.2;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-05-13;0.0;;;15.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-11-25;;;6.4;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-05-14;0.0;;26.4;11.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-05-28;0.0;;23.2;11.4;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-06-10;89.0;;26.4;17.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-06-18;0.0;;26.2;15.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-07-08;0.0;;32.0;21.4;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-07-17;0.0;;34.4;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-09-18;;;25.4;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-10-21;0.0;;;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-10-26;0.0;;18.0;4.4;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-11-30;;;14.4;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-12-10;;;5.6;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-01-12;0.0;;14.2;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-01-13;0.0;;6.4;0.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-01-23;0.0;;12.2;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-02-17;0.0;;;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-03-11;0.0;;18.2;2.4;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-03-16;170.0;;;4.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-05-01;;;;10.2;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-05-15;820.0;;18.2;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-05-18;0.0;;;14.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-06-09;0.0;;25.0;17.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-08-07;0.0;;35.4;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-09-24;0.0;;22.2;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-10-05;0.0;;21.0;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-10-19;0.0;;;4.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-11-10;0.0;;20.0;4.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-12-16;;;10.4;-0.2;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-12-23;;;11.4;3.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-01-30;10.0;;;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-02-04;0.0;;;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-05-22;0.0;;21.6;9.2;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-06-12;0.0;;24.6;18.2;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-06-26;0.0;;28.0;14.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-08-13;0.0;;33.4;22.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-10-22;0.0;;15.2;3.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-11-04;0.0;;;6.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-11-18;0.0;;10.0;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-12-15;;;10.0;-2.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-01-29;0.0;;;-3.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-02-02;0.0;;10.0;-5.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-03-04;0.0;;10.4;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-03-05;0.0;;12.6;5.4;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-03-24;5.0;;11.6;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-03-30;0.0;;;5.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-05-06;0.0;;24.2;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-06-22;0.0;;26.0;14.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-07-24;0.0;;33.6;21.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-07-27;;;32.4;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-08-18;160.0;;;16.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-08-20;0.0;;;14.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-09-07;0.0;;;11.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-10-01;0.0;;;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-10-02;86.0;;13.4;12.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-10-14;10.0;;18.0;9.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-11-26;;;12.4;-2.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-01-07;0.0;;8.2;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-02-03;3.0;;2.4;-3.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-05-19;0.0;;;15.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-05-20;137.0;;;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-05-21;64.0;;17.8;9.2;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-05-25;0.0;;23.2;12.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-07-01;0.0;;;19.2;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-07-02;0.0;;31.4;19.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-07-30;0.0;;29.2;18.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-08-06;0.0;;34.6;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-08-17;0.0;;28.4;14.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-10-16;180.0;;15.4;8.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-11-23;0.0;;6.6;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-12-24;;;;6.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-01-15;0.0;;;-2.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-01-19;0.0;;;-1.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-01-28;0.0;;8.0;-3.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-04-01;0.0;;18.0;11.4;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-04-02;0.0;;18.2;3.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-06-03;0.0;;29.2;16.4;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-07-06;0.0;;34.0;22.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-07-20;0.0;;34.4;20.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-07-31;0.0;;28.2;18.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-09-21;0.0;;24.0;12.4;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-10-15;371.0;;12.4;10.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-11-27;;;10.4;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-12-01;;;;-1.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-12-14;;;8.4;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-12-22;;;10.2;1.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-12-30;;;10.8;-0.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-03-19;0.0;;;5.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-03-27;3.0;;19.0;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-06-04;0.0;;30.8;17.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-07-16;0.0;;33.2;24.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-08-25;20.0;;25.4;17.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-08-31;0.0;;31.2;18.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-10-07;3.0;;21.0;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-10-08;71.0;;23.2;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-10-09;0.0;;19.4;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-10-27;0.0;;14.0;2.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-11-20;0.0;;11.2;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-12-07;;;9.0;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-12-11;;;6.4;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-12-18;;;10.0;-1.2;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-12-21;;;8.2;2.2;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-02-27;0.0;;11.6;0.4;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-03-23;0.0;;15.4;4.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-05-04;0.0;;21.4;14.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-07-07;0.0;;34.0;23.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-07-14;0.0;;32.6;21.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-08-11;0.0;;32.0;19.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-08-12;0.0;;32.6;19.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-09-17;0.0;;25.4;17.4;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-10-30;0.0;;19.2;8.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-11-09;0.0;;19.2;3.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-11-16;0.0;;9.4;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-12-09;;;4.0;1.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-01-21;109.0;;;-1.4;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-02-10;0.0;;;-3.2;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-02-23;0.0;;;-1.2;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-02-26;0.0;;;-1.4;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-03-25;99.0;;11.4;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-05-07;0.0;;24.0;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-06-19;0.0;;27.2;17.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-06-29;0.0;;29.4;18.4;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-07-22;0.0;;35.6;23.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-08-03;0.0;;30.6;17.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-09-10;0.0;;22.4;14.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-09-28;0.0;;;14.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-10-06;10.0;;17.4;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-11-12;0.0;;18.2;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-02-24;;;;0.4;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-03-10;0.0;;15.2;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-05-26;53.0;;22.4;13.4;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-06-08;0.0;;29.6;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-06-16;295.0;;24.0;16.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-07-28;;;30.6;19.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-09-04;0.0;;;15.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-10-28;79.0;;12.0;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-11-19;0.0;;;8.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-01-08;0.0;;;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-01-09;0.0;;10.2;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-01-26;0.0;;8.8;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-03-06;0.0;;;-3.2;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-03-13;0.0;;14.6;0.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-03-31;0.0;;23.2;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-04-30;79.0;;18.6;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-01-14;0.0;;9.6;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-05-11;0.0;;27.0;11.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-01-16;71.0;;;4.2;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-05-27;0.0;;23.8;10.4;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-01-22;130.0;;6.4;1.2;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-06-01;0.0;;25.6;16.4;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-01-27;0.0;;8.2;-4.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-07-03;10.0;;;21.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-02-16;20.0;;9.6;3.4;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-07-15;0.0;;33.0;22.2;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-03-18;0.0;;14.0;3.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-08-21;0.0;;25.2;17.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-03-20;0.0;;;6.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-08-24;259.0;;;15.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-04-29;3.0;;18.4;8.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-09-11;5.0;;20.6;15.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-06-15;3.0;;26.4;16.2;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-09-29;5.0;;19.2;12.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-06-25;0.0;;25.2;13.4;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-09-30;0.0;;;9.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-07-09;;;;16.4;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-10-12;0.0;;20.4;12.4;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-07-10;0.0;;29.2;17.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-08-05;0.0;;33.4;19.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-08-26;0.0;;27.0;16.4;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-09-01;0.0;;27.4;19.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-09-25;0.0;;24.4;9.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-10-29;107.0;;;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-11-02;0.0;;;3.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-11-11;0.0;;18.4;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-12-02;;;10.2;-0.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-02-13;0.0;;7.2;-0.2;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-03-02;0.0;;13.0;3.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-03-12;0.0;;14.8;0.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-06-11;0.0;;29.2;16.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-06-17;5.0;;;14.2;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-06-24;0.0;;24.4;14.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-06-30;0.0;;29.6;18.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-07-13;0.0;;33.8;19.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-08-10;511.0;;26.4;18.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-09-09;0.0;;23.4;12.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-10-13;170.0;;;14.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-11-06;0.0;;18.2;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-12-17;;;;-1.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-12-31;;;5.4;0.2;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-02-11;0.0;;10.4;-2.2;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-02-12;0.0;;8.6;-3.2;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-02-25;0.0;;14.6;4.4;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-03-09;0.0;;11.4;-1.4;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-05-05;0.0;;22.8;14.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-05-12;0.0;;;14.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-05-29;0.0;;23.2;11.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-06-05;0.0;;;19.2;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-07-23;0.0;;34.6;20.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-07-29;;;31.0;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-08-19;79.0;;;15.4;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-08-28;0.0;;30.0;18.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-09-03;8.0;;;18.4;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-09-08;0.0;;23.4;14.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-09-22;0.0;;20.0;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-10-20;0.0;;15.6;7.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-11-13;0.0;;16.4;4.8;178.6;CAMERI;45.53, 8.669;IT
